ID Punto;Iluminación;¿Qué veo?;Visibilidad;Presencia de personas;Seguridad;Estado del Sendero;Transporte;Presencia mixta;Índice de seguridad;Dirección;Código Localidad;Nombre Localidad;Coordenada X;Coordenada Y
58;Suficiente;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06379999970;4,68590000086
59;Suficiente;Bastante visible;No miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AV. Suba - CL 94C, Bogotá, Colombia;12;Barrios Unidos;-74,06319999970;4,68500000052
60;Brillante;Bastante visible;Algunos miran;Una multitud de personas;Ninguna;Bueno;Muy Cerca;Hay diversidad;Muy Alto;Suba - Cl. 95 A - 3, Bogotá, Colombia;12;Barrios Unidos;-74,06290000030;4,68420000002
61;Suficiente;Bastante visible;Algunos miran;Desierto;Minima;Bueno;Muy Cerca;No hay diversidad;Medio;Rio Negro, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06300000010;4,68370000087
62;Suficiente;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Rio Negro, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06300000010;4,68370000087
63;Suficiente;Bastante visible;No miran;Desierto;Minima;Bueno;Cerca;No hay diversidad;Medio;Rio Negro, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06360000000;4,68239999935
64;Suficiente;Bastante visible;No miran;Pocas personas;Minima;Bueno;Cerca;No hay diversidad;Medio;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06390000040;4,68180000037
65;Suficiente;Bastante visible;Muchos miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;AK 50 - Cl 91A, Bogotá, Colombia;12;Barrios Unidos;-74,06470000000;4,68080000021
66;Suficiente;Bastante visible;No miran;Bastantes personas;Minima;Bueno;Cerca;No hay diversidad;Medio;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06589999980;4,67879999988
67;Suficiente;Bastante visible;No miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;Rionegro, Bogotá, Colombia;12;Barrios Unidos;-74,06500000040;4,68009999953
68;Suficiente;Bastante visible;No miran;Desierto;Minima;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - AC 80, Bogotá, Colombia;12;Barrios Unidos;-74,07770000030;4,68490000069
69;Suficiente;Bastante visible;No miran;Desierto;Minima;Bueno;Cerca;No hay diversidad;Medio;AK 68 - AC 80, Bogotá, Colombia;12;Barrios Unidos;-74,07770000030;4,68490000069
70;Suficiente;Bastante visible;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Bajo;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,07849999980;4,68420000002
71;Suficiente;Bastante visible;No miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,07849999980;4,68420000002
72;Suficiente;Bastante visible;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Bajo;AK 68 - Cl 78, Bogotá, Colombia;12;Barrios Unidos;-74,07930000030;4,68349999934
73;Suficiente;Bastante visible;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Bajo;AK 68 - Cl 78, Bogotá, Colombia;12;Barrios Unidos;-74,07930000030;4,68349999934
74;Suficiente;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - Cl 79D, Bogotá, Colombia;12;Barrios Unidos;-74,08029999960;4,68270000070
75;Suficiente;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - Cl 78, Bogotá, Colombia;12;Barrios Unidos;-74,08100000020;4,68219999969
76;Poca;Bastante visible;No miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Bajo;AK 68 - Cl 76A, Bogotá, Colombia;12;Barrios Unidos;-74,08189999960;4,68139999919
77;Suficiente;Bastante visible;No miran;Pocas personas;Minima;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - Cl 75A, Bogotá, Colombia;12;Barrios Unidos;-74,08280000000;4,68080000021
78;Suficiente;Bastante visible;No miran;Pocas personas;Minima;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - Cl 75A, Bogotá, Colombia;12;Barrios Unidos;-74,08280000000;4,68080000021
79;Poca;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - Cl 74A, Bogotá, Colombia;12;Barrios Unidos;-74,08370000030;4,67999999970
80;Poca;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - Cl 74A, Bogotá, Colombia;12;Barrios Unidos;-74,08370000030;4,67999999970
81;Suficiente;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - Cl 74A, Bogotá, Colombia;12;Barrios Unidos;-74,08490000010;4,67899999954
82;Suficiente;Bastante visible;Algunos miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;AK 68 - Cl 73, Bogotá, Colombia;12;Barrios Unidos;-74,08519999960;4,67860000022
83;Brillante;Bastante visible;No miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;AK 68 - Cl 72A, Bogotá, Colombia;12;Barrios Unidos;-74,08550000000;4,67809999920
84;Brillante;Bastante visible;No miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;AK 68 - Cl 72A, Bogotá, Colombia;12;Barrios Unidos;-74,08550000000;4,67809999920
85;Suficiente;Bastante visible;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Bajo;Jose Joaquin Vargas, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,08610000000;4,67699999921
86;Poca;Bastante visible;Algunos miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - Cl 67G, Bogotá, Colombia;12;Barrios Unidos;-74,08640000040;4,67650000006
87;Poca;Bastante visible;Algunos miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - Cl 67G, Bogotá, Colombia;12;Barrios Unidos;-74,08640000040;4,67650000006
88;Poca;Bastante visible;No miran;Pocas personas;Minima;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - Cl 67F, Bogotá, Colombia;12;Barrios Unidos;-74,08679999970;4,67579999939
89;Poca;Bastante visible;Muchos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;AK 68 - Cl 68B, Bogotá, Colombia;12;Barrios Unidos;-74,08720000000;4,67510000058
90;Poca;Bastante visible;Muchos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;AK 68 - Cl 68B, Bogotá, Colombia;12;Barrios Unidos;-74,08720000000;4,67510000058
91;Suficiente;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;AK 68 - Cl 68B, Bogotá, Colombia;12;Barrios Unidos;-74,08770000000;4,67420000024
92;Suficiente;Bastante visible;No miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - Cl 68B, Bogotá, Colombia;12;Barrios Unidos;-74,08820000010;4,67339999974
93;Suficiente;Bastante visible;No miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - Cl 68B, Bogotá, Colombia;12;Barrios Unidos;-74,08820000010;4,67339999974
94;Suficiente;Bastante visible;Muchos miran;Bastantes personas;Minima;Bueno;Muy Cerca;Hay poca diversidad;Alto;AK 68 - Cl 64, Bogotá, Colombia;12;Barrios Unidos;-74,08889999990;4,67219999991
95;Suficiente;Bastante visible;No miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - AC 66, Bogotá, Colombia;12;Barrios Unidos;-74,08959999960;4,67109999992
96;Suficiente;Bastante visible;No miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - AC 66, Bogotá, Colombia;12;Barrios Unidos;-74,08959999960;4,67109999992
97;Suficiente;Bastante visible;Algunos miran;Bastantes personas;Ninguna;Bueno;Cerca;Hay diversidad;Alto;Barrios Unidos, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,09030000030;4,67019999959
98;Poca;Bastante visible;No miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - AC 63, Bogotá, Colombia;12;Barrios Unidos;-74,09109999980;4,66909999959
99;Poca;Bastante visible;No miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - AC 63, Bogotá, Colombia;12;Barrios Unidos;-74,09109999980;4,66909999959
100;Suficiente;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 68 - AC 63, Bogotá, Colombia;12;Barrios Unidos;-74,09190000030;4,66809999943
101;Poca;Visibilidad total;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Bajo;Br. La Esmeralda, Bogotá, Colombia;12;Barrios Unidos;-74,09250000030;4,66689999960
102;Poca;Visibilidad total;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Bajo;Br. La Esmeralda, Bogotá, Colombia;12;Barrios Unidos;-74,09250000030;4,66689999960
103;Poca;Visibilidad total;No miran;Desierto;Ninguna;Bueno;A distancia;No hay diversidad;Bajo;Br. La Esmeralda, Bogotá, Colombia;12;Barrios Unidos;-74,09339999970;4,66609999910
104;Poca;Visibilidad total;No miran;Desierto;Ninguna;Bueno;A distancia;No hay diversidad;Bajo;Br. La Esmeralda, Bogotá, Colombia;12;Barrios Unidos;-74,09339999970;4,66609999910
105;Brillante;Visibilidad total;Algunos miran;Pocas personas;Minima;Bueno;Cerca;No hay diversidad;Alto;Rincon de Los Andes, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06450000030;4,68679999933
106;Suficiente;Bastante visible;Algunos miran;Desierto;Minima;Bueno;Muy Cerca;No hay diversidad;Medio;Rincon de Los Andes, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06489999960;4,68789999932
107;Suficiente;Visibilidad total;Algunos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Rincon de Los Andes, Bogotá, Bogota, Colombia;12;Barrios Unidos;-74,06539999970;4,68889999948
108;Brillante;Visibilidad total;No miran;Desierto;Moderada;Bueno;Cerca;No hay diversidad;Alto;El Campin, Bogotá, Bogota, Colombia;13;Teusaquillo;-74,07840000000;4,64670000039
109;Brillante;Visibilidad total;No miran;Desierto;Moderada;Bueno;Cerca;No hay diversidad;Alto;El Campin, Bogotá, Bogota, Colombia;13;Teusaquillo;-74,07840000000;4,64670000039
110;Brillante;Visibilidad total;No miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Campin B - 4, Bogotá, Colombia;13;Teusaquillo;-74,07859999970;4,64580000006
111;Brillante;Visibilidad total;No miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Campin A - 4, Bogotá, Colombia;13;Teusaquillo;-74,07870000040;4,64519999921
112;Brillante;Visibilidad total;Algunos miran;Bastantes personas;Minima;Bueno;Muy Cerca;No hay diversidad;Alto;Campin A - 2, Bogotá, Colombia;13;Teusaquillo;-74,07859999970;4,64440000057
113;Brillante;Visibilidad total;Muchos miran;Una multitud de personas;Ninguna;Bueno;Muy Cerca;Hay poca diversidad;Muy Alto;Av. Nqs - Cl 53, Bogotá, Colombia;13;Teusaquillo;-74,07859999970;4,64369999990
114;Brillante;Visibilidad total;Muchos miran;Una multitud de personas;Ninguna;Bueno;Muy Cerca;Hay poca diversidad;Muy Alto;Av. Nqs - Cl 53, Bogotá, Colombia;13;Teusaquillo;-74,07859999970;4,64369999990
115;Brillante;Visibilidad total;Muchos miran;Pocas personas;Minima;Bueno;Cerca;No hay diversidad;Alto;Belalcazar, Bogotá, Bogota, Colombia;13;Teusaquillo;-74,07859999970;4,64269999973
116;Brillante;Visibilidad total;Algunos miran;Bastantes personas;Minima;Bueno;Muy Cerca;No hay diversidad;Alto;Av. Nqs - Cl 52, Bogotá, Colombia;13;Teusaquillo;-74,07880000030;4,64140000008
117;Brillante;Visibilidad total;Muchos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;Belalcazar, Bogotá, Bogota, Colombia;13;Teusaquillo;-74,07890000010;4,64030000009
118;Brillante;Visibilidad total;Muchos miran;Bastantes personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;Av. Nqs - Cl 48, Bogotá, Colombia;13;Teusaquillo;-74,07899999990;4,63920000009
119;Brillante;Visibilidad total;Muchos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Av. Nqs - Cl 48, Bogotá, Colombia;13;Teusaquillo;-74,07899999990;4,63849999942
120;Brillante;Visibilidad total;Muchos miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Un. Nacional C - 3, Bogotá, Colombia;13;Teusaquillo;-74,07909999970;4,63770000078
121;Brillante;Visibilidad total;Muchos miran;Pocas personas;Minima;Bueno;Muy Cerca;No hay diversidad;Alto;Un. Nacional B - 4 o 6, Bogotá, Colombia;13;Teusaquillo;-74,07909999970;4,63700000010
122;Brillante;Visibilidad total;Muchos miran;Bastantes personas;Minima;Bueno;Muy Cerca;Hay poca diversidad;Muy Alto;Av. Nqs - Cl 45A, Bogotá, Colombia;13;Teusaquillo;-74,07909999970;4,63590000011
123;Brillante;Visibilidad total;Algunos miran;Pocas personas;Minima;Bueno;Cerca;No hay diversidad;Alto;Av. Nqs - Cl 45, Bogotá, Colombia;13;Teusaquillo;-74,07930000030;4,63499999978
124;Brillante;Visibilidad total;Muchos miran;Bastantes personas;Minima;Bueno;Cerca;No hay diversidad;Alto;Teusaquillo, Bogotá, Bogota, Colombia;13;Teusaquillo;-74,07940000020;4,63389999978
125;Brillante;Visibilidad total;Muchos miran;Bastantes personas;Ninguna;Bueno;Cerca;Hay poca diversidad;Alto;AK 28 - Cl 40A-56, Bogotá, Colombia;13;Teusaquillo;-74,07950000000;4,63250000030
126;Brillante;Visibilidad total;Muchos miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;Hay diversidad;Muy Alto;Av. Nqs - Cl 40A, Bogotá, Colombia;13;Teusaquillo;-74,07959999980;4,63159999996
127;Brillante;Visibilidad total;Altamente visible;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Las Americas, Bogotá, Bogota, Colombia;13;Teusaquillo;-74,07969999970;4,63049999997
128;Brillante;Visibilidad total;Muchos miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Las Americas, Bogotá, Bogota, Colombia;13;Teusaquillo;-74,07990000020;4,62939999998
129;Brillante;Visibilidad total;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;NQS, Bogotá, Colombia;13;Teusaquillo;-74,08019999970;4,62849999964
